month_index,month_name,income,rent_utilities,food_groceries,entertainment_shopping,other
1,Jan 2017,4177,1187,406,439,220
2,Feb 2017,3975,1194,435,438,176
3,Mar 2017,4196,1214,422,401,258
4,Apr 2017,3866,1181,423,305,209
5,May 2017,4108,1218,406,393,200
6,Jun 2017,4216,1214,507,306,264
7,Jul 2017,4151,1197,607,472,151
8,Aug 2017,4238,1190,578,358,237
9,Sep 2017,3992,1189,455,495,345
10,Oct 2017,4022,1186,423,347,174
11,Nov 2017,4033,1202,554,317,161
12,Dec 2017,4223,1209,537,281,246
13,Jan 2018,4200,1320,558,476,242
14,Feb 2018,4345,1292,580,267,161
15,Mar 2018,4388,1294,597,324,170
16,Apr 2018,4487,1294,621,275,247
17,May 2018,4192,1309,562,463,243
18,Jun 2018,4133,1303,490,303,321
19,Jul 2018,4186,1284,555,412,193
20,Aug 2018,4323,1295,441,368,247
21,Sep 2018,4188,1320,576,392,206
22,Oct 2018,4400,1300,615,446,348
23,Nov 2018,4078,1294,610,258,230
24,Dec 2018,4255,1297,416,304,295
25,Jan 2019,4558,1391,501,476,314
26,Feb 2019,4684,1369,467,285,213
27,Mar 2019,4831,1395,537,317,341
28,Apr 2019,4749,1387,629,399,252
29,May 2019,4635,1374,435,380,276
30,Jun 2019,4496,1363,620,278,189
31,Jul 2019,4771,1370,602,424,258
32,Aug 2019,4755,1364,498,347,302
33,Sep 2019,4689,1393,464,498,291
34,Oct 2019,4890,1360,574,434,179
35,Nov 2019,4799,1394,592,318,346
36,Dec 2019,4778,1381,428,325,261
37,Jan 2020,4651,1456,648,378,345
38,Feb 2020,4741,1472,633,277,310
39,Mar 2020,4802,1480,529,405,200
40,Apr 2020,4728,1463,595,291,288
41,May 2020,5048,1473,635,250,303
42,Jun 2020,4815,1471,404,278,242
43,Jul 2020,5099,1459,461,264,211
44,Aug 2020,5099,1476,642,270,171
45,Sep 2020,5024,1471,608,267,344
46,Oct 2020,4922,1448,432,418,271
47,Nov 2020,4931,1450,467,385,305
48,Dec 2020,4866,1453,637,388,343
49,Jan 2021,5152,1559,502,421,316
50,Feb 2021,5241,1568,630,382,265
51,Mar 2021,5111,1555,457,266,236
52,Apr 2021,5060,1577,541,308,300
53,May 2021,5162,1540,418,431,311
54,Jun 2021,5080,1554,417,481,158
55,Jul 2021,5490,1561,418,381,210
56,Aug 2021,5192,1571,454,388,183
57,Sep 2021,5420,1576,547,371,212
58,Oct 2021,5451,1570,606,354,198
59,Nov 2021,5098,1546,568,360,240
60,Dec 2021,5266,1566,519,471,336
61,Jan 2022,5584,1646,415,353,336
62,Feb 2022,5423,1646,463,299,198
63,Mar 2022,5524,1668,435,358,196
64,Apr 2022,5392,1669,463,473,169
65,May 2022,5476,1675,425,262,316
66,Jun 2022,5526,1640,648,273,342
67,Jul 2022,5684,1655,442,354,274
68,Aug 2022,5496,1653,621,352,165
69,Sep 2022,5334,1664,400,349,217
70,Oct 2022,5651,1669,473,358,328
71,Nov 2022,5624,1675,569,433,274
72,Dec 2022,5329,1652,475,305,164
73,Jan 2023,5927,1743,591,330,164
74,Feb 2023,5675,1777,522,378,285
75,Mar 2023,5730,1743,645,380,170
76,Apr 2023,6085,1751,417,402,167
77,May 2023,5995,1755,503,280,295
78,Jun 2023,5776,1777,552,260,308
79,Jul 2023,5691,1766,568,399,294
80,Aug 2023,5917,1760,639,316,202
81,Sep 2023,5992,1760,461,317,251
82,Oct 2023,5717,1759,517,330,342
83,Nov 2023,5687,1740,517,409,294
84,Dec 2023,5701,1744,537,304,279
85,Jan 2024,6128,1794,625,312,244
86,Feb 2024,6095,1800,512,463,289
87,Mar 2024,6310,1809,556,456,317
88,Apr 2024,6220,1790,570,459,291
89,May 2024,6103,1796,640,474,184
90,Jun 2024,6085,1797,627,277,340
91,Jul 2024,6233,1799,469,322,304
92,Aug 2024,6057,1811,452,425,312
93,Sep 2024,6386,1806,529,375,214
94,Oct 2024,6383,1793,423,412,258
95,Nov 2024,6374,1807,411,250,235
96,Dec 2024,6344,1798,563,500,217
97,Jan 2025,6376,1925,580,359,293
98,Feb 2025,6154,1897,419,491,326
99,Mar 2025,6226,1924,409,463,244
100,Apr 2025,6448,1925,437,360,182
101,May 2025,6171,1909,493,480,160
102,Jun 2025,6333,1903,574,313,320
103,Jul 2025,6202,1912,599,393,254
104,Aug 2025,6467,1899,636,488,210
105,Sep 2025,6592,1900,649,454,195
106,Oct 2025,6361,1891,445,438,235
107,Nov 2025,6550,1916,605,421,338
108,Dec 2025,6565,1905,468,290,329
109,Jan 2026,6796,1972,619,370,206
110,Feb 2026,6452,1999,489,328,208
